,freq,alt,fail,mean,1stptile,99thptile,lastgood,limit
0,4100.0,20.0,NF,,,,5.8,N/A
1,4100.0,50.0,NF,,,,5.8,N/A
2,4100.0,100.0,NF,,,,5.8,N/A
3,4100.0,200.0,NF,,,,5.8,N/A
4,4100.0,500.0,NF,,,,5.8,N/A
5,4100.0,1000.0,NF,,,,5.8,N/A
6,4100.0,2000.0,NF,,,,5.8,N/A
7,4100.0,2500.0,NF,,,,5.8,N/A
8,4110.0,20.0,NF,,,,5.8,N/A
9,4110.0,50.0,NF,,,,5.8,N/A
10,4110.0,100.0,NF,,,,5.8,N/A
11,4110.0,200.0,NF,,,,5.8,N/A
12,4110.0,500.0,NF,,,,5.8,N/A
13,4110.0,1000.0,NF,,,,5.8,N/A
14,4110.0,2000.0,NF,,,,5.8,N/A
15,4110.0,2500.0,NF,,,,5.8,N/A
16,4120.0,20.0,3.8,*,,*,2.8,N/A
17,4120.0,50.0,NF,,,,5.8,N/A
18,4120.0,100.0,NF,,,,5.8,N/A
19,4120.0,200.0,NF,,,,5.8,N/A
20,4120.0,500.0,NF,,,,5.8,N/A
21,4120.0,1000.0,NF,,,,5.8,N/A
22,4120.0,2000.0,NF,,,,5.8,N/A
23,4120.0,2500.0,4.8,*,,,3.8,N/A
24,4130.0,20.0,-6.2,,,*,-7.2,N/A
25,4130.0,50.0,NF,,,,5.8,N/A
26,4130.0,100.0,NF,,,,5.8,N/A
27,4130.0,200.0,NF,,,,5.8,N/A
28,4130.0,500.0,NF,,,,5.8,N/A
29,4130.0,1000.0,NF,,,,5.8,N/A
30,4130.0,2000.0,3.8,*,,,2.8,N/A
31,4130.0,2500.0,1.8,*,,,0.8,N/A
